,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd,Mean_wgpct,StdDev_wgpct,Min_wgpct,Max_wgpct,Range_wgpct,SNR_wgpct,Mean_piallgi,StdDev_piallgi,Min_piallgi,Max_piallgi,Range_piallgi
NumVert,1.0,0.9957042333629803,0.6079415390399194,-0.33969309755032034,0.45778603297694725,-0.11370325262585484,0.23548734189487341,0.8263695238065318,0.8632798372414635,-0.42450091540333673,0.4858109170084644,-0.5213967895411612,0.46193364952952587,0.5857894433363633,-0.5520706173432526,-0.3120658266419334,0.16975803867126135,-0.4087409305818298,-0.056646356357885945,0.3628620178813681
SurfArea,0.9957042333629803,1.0,0.6225714620113667,-0.3181604668848259,0.4612984675613503,-0.09841672361951952,0.22907997276925626,0.8279844913156885,0.8583047576901272,-0.3922651227932478,0.48712060422208375,-0.5196208397907932,0.48684610484268953,0.5938403058732612,-0.5275962986762976,-0.3258734043898051,0.16549328747464465,-0.42257503883618863,-0.0673771709287122,0.36182723824612206
GrayVol,0.6079415390399194,0.6225714620113667,1.0,0.3975685557586184,0.11488047770635906,0.20254934716155154,0.2913302869633875,0.7060903249429333,0.6719492773131681,0.2862322229345444,0.40587168680665225,-0.24974425873064984,0.3590258787605096,0.3319195989708055,-0.09174905057880246,-0.2222556220552204,0.18105011014315808,-0.28713485211239986,-0.034030835627202057,0.2638484136818864
ThickAvg,-0.33969309755032034,-0.3181604668848259,0.3975685557586184,1.0,-0.21697293957838934,0.09804096168043457,-0.055679146631087896,-0.15190265163470879,-0.22199989566550377,0.7720441401195735,-0.019980275912795796,0.2559083092073515,0.026709532099831797,-0.1913441834153267,0.4891927259702565,0.2615908018146159,0.14964450335036347,0.22718997128178745,0.22425523139519768,0.08886132091647768
ThickStd,0.45778603297694725,0.4612984675613503,0.11488047770635906,-0.21697293957838934,1.0,-0.10743998066795818,0.22234088033170427,0.3731436389338412,0.4111512099395573,-0.4340373306968731,0.5203498150084735,-0.4406155450102641,0.4082162249133468,0.5021470154637493,-0.5748018974566385,-0.24346899610313852,0.18663385724704346,-0.34445774584250494,-0.012791980932509264,0.35820090946252253
MeanCurv,-0.11370325262585484,-0.09841672361951952,0.20254934716155154,0.09804096168043457,-0.10743998066795818,1.0,0.6648898068439167,0.267905565233758,0.21501904313724293,0.1945133858327246,0.2281472306976735,-0.032723277386737595,0.008290611497694576,0.027523670352516363,-0.09142421410598366,-0.30143665451701107,-0.175827851432436,-0.2310641421087583,-0.3428429674161891,-0.2621283839492461
GausCurv,0.23548734189487341,0.22907997276925626,0.2913302869633875,-0.055679146631087896,0.22234088033170427,0.6648898068439167,1.0,0.5582925942360407,0.612680879445579,-0.1696106160465966,0.6220315995723326,-0.4299117965274484,0.23549106166623318,0.426365933529448,-0.5507537558700979,-0.25260012505302154,0.003165146784429658,-0.2528900124958692,-0.15736431394481198,0.040245389087107286
FoldInd,0.8263695238065318,0.8279844913156885,0.7060903249429333,-0.15190265163470879,0.3731436389338412,0.267905565233758,0.5582925942360407,1.0,0.9205353894717608,-0.21031750710075792,0.619039182385084,-0.5334172106129784,0.45587628707667005,0.5922269643451117,-0.5256460493126666,-0.39256878598733247,0.08821160537989992,-0.44377463146375434,-0.17070725082816404,0.23030311925348387
CurvInd,0.8632798372414635,0.8583047576901272,0.6719492773131681,-0.22199989566550377,0.4111512099395573,0.21501904313724293,0.612680879445579,0.9205353894717608,1.0,-0.3232336575972996,0.6574960395521565,-0.5898921711274293,0.4693260250905081,0.6418700715668499,-0.6173983499317449,-0.35997741919780973,0.12206521085582388,-0.422297586817755,-0.11868151448061905,0.2848083616410466
Mean_wgpct,-0.42450091540333673,-0.3922651227932478,0.2862322229345444,0.7720441401195735,-0.4340373306968731,0.1945133858327246,-0.1696106160465966,-0.21031750710075792,-0.3232336575972996,1.0,-0.17111358615925296,0.3975635387151912,0.034351710865542145,-0.29995816575864137,0.7527792047307832,-0.01610092224250534,-0.06825103313370441,0.02266847788215609,-0.10980812462591405,-0.18885235791304228
StdDev_wgpct,0.4858109170084644,0.48712060422208375,0.40587168680665225,-0.019980275912795796,0.5203498150084735,0.2281472306976735,0.6220315995723326,0.619039182385084,0.6574960395521565,-0.17111358615925296,1.0,-0.6437878419241716,0.564812406088413,0.721342840372446,-0.7384272713837743,-0.2952477078385669,0.12002192116389797,-0.35963832642658383,-0.0926063926791187,0.2561062106953681
Min_wgpct,-0.5213967895411612,-0.5196208397907932,-0.24974425873064984,0.2559083092073515,-0.4406155450102641,-0.032723277386737595,-0.4299117965274484,-0.5334172106129784,-0.5898921711274293,0.3975635387151912,-0.6437878419241716,1.0,-0.39186541448379614,-0.9328547251001107,0.6495162143198678,0.17729005118244198,-0.10039509580400155,0.23071598236044688,0.014438471010538714,-0.23174922601080272
Max_wgpct,0.46193364952952587,0.48684610484268953,0.3590258787605096,0.026709532099831797,0.4082162249133468,0.008290611497694576,0.23549106166623318,0.45587628707667005,0.4693260250905081,0.034351710865542145,0.564812406088413,-0.39186541448379614,1.0,0.6879104349834511,-0.2736068820034177,-0.2715790160559372,0.12185580536491894,-0.34868905856347937,-0.0841774808022603,0.2567598200595347
Range_wgpct,0.5857894433363633,0.5938403058732612,0.3319195989708055,-0.1913441834153267,0.5021470154637493,0.027523670352516363,0.426365933529448,0.5922269643451117,0.6418700715668499,-0.29995816575864137,0.721342840372446,-0.9328547251001107,0.6879104349834511,1.0,-0.6144007170053851,-0.24283168070681901,0.12491449830692443,-0.31401195328719184,-0.04355302159834973,0.2796541543266061
SNR_wgpct,-0.5520706173432526,-0.5275962986762976,-0.09174905057880246,0.4891927259702565,-0.5748018974566385,-0.09142421410598366,-0.5507537558700979,-0.5256460493126666,-0.6173983499317449,0.7527792047307832,-0.7384272713837743,0.6495162143198678,-0.2736068820034177,-0.6144007170053851,1.0,0.16230772309296357,-0.11504589858993879,0.22521807284826403,-0.006943047848107165,-0.2575427155103625
Mean_piallgi,-0.3120658266419334,-0.3258734043898051,-0.2222556220552204,0.2615908018146159,-0.24346899610313852,-0.30143665451701107,-0.25260012505302154,-0.39256878598733247,-0.35997741919780973,-0.01610092224250534,-0.2952477078385669,0.17729005118244198,-0.2715790160559372,-0.24283168070681901,0.16230772309296357,1.0,0.3782229100004138,0.918902829938818,0.896879533565651,0.33587590535036593
StdDev_piallgi,0.16975803867126135,0.16549328747464465,0.18105011014315808,0.14964450335036347,0.18663385724704346,-0.175827851432436,0.003165146784429658,0.08821160537989992,0.12206521085582388,-0.06825103313370441,0.12002192116389797,-0.10039509580400155,0.12185580536491894,0.12491449830692443,-0.11504589858993879,0.3782229100004138,1.0,0.08366275778076056,0.6557998007776293,0.9002579423870247
Min_piallgi,-0.4087409305818298,-0.42257503883618863,-0.28713485211239986,0.22718997128178745,-0.34445774584250494,-0.2310641421087583,-0.2528900124958692,-0.44377463146375434,-0.422297586817755,0.02266847788215609,-0.35963832642658383,0.23071598236044688,-0.34868905856347937,-0.31401195328719184,0.22521807284826403,0.918902829938818,0.08366275778076056,1.0,0.7457615855031747,0.02305474605250818
Max_piallgi,-0.056646356357885945,-0.0673771709287122,-0.034030835627202057,0.22425523139519768,-0.012791980932509264,-0.3428429674161891,-0.15736431394481198,-0.17070725082816404,-0.11868151448061905,-0.10980812462591405,-0.0926063926791187,0.014438471010538714,-0.0841774808022603,-0.04355302159834973,-0.006943047848107165,0.896879533565651,0.6557998007776293,0.7457615855031747,1.0,0.6781524525879478
Range_piallgi,0.3628620178813681,0.36182723824612206,0.2638484136818864,0.08886132091647768,0.35820090946252253,-0.2621283839492461,0.040245389087107286,0.23030311925348387,0.2848083616410466,-0.18885235791304228,0.2561062106953681,-0.23174922601080272,0.2567598200595347,0.2796541543266061,-0.2575427155103625,0.33587590535036593,0.9002579423870247,0.02305474605250818,0.6781524525879478,1.0
